Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR,ADRa,SR
Redgar,0.89,165.5,0.81,0.69,108.1,0.57,0.39,0.1,0.12,35.0,12.0,569,702,390,101,115,0.709,27.635,0.291
Twisten,0.89,202.6,0.91,0.64,132.3,0.71,0.16,0.16,0.18,24.0,5.0,298,328,66,66,75,0.787,32.252,0.213
Destrian,0.89,170.6,0.77,0.69,113.1,0.58,0.42,0.06,0.09,24.0,11.0,240,310,177,26,38,0.743,32.524,0.257
ban,0.89,180.1,0.89,0.69,114.3,0.64,0.29,0.1,0.1,25.0,14.0,566,639,254,86,87,0.721,24.864,0.279
rhyme,0.89,164.9,0.8,0.7,109.9,0.58,0.4,0.06,0.11,31.0,13.0,439,552,300,46,80,0.73,28.604,0.27
xms,0.87,165.4,0.86,0.69,115.9,0.59,0.26,0.06,0.06,30.0,9.0,338,393,147,36,37,0.685,33.461,0.315
AYRIN,0.87,171.1,0.81,0.67,110.6,0.58,0.27,0.06,0.09,20.0,16.0,270,335,124,30,41,0.72,29.31,0.28
Wolfen,0.87,199.4,0.9,0.65,129.6,0.7,0.16,0.17,0.19,26.0,10.0,409,454,96,97,109,0.776,31.72,0.224
crow,0.86,157.1,0.76,0.72,105.0,0.53,0.42,0.05,0.06,25.0,11.0,376,492,301,37,44,0.692,30.963,0.308
TENNN,0.86,194.8,0.88,0.7,128.4,0.66,0.18,0.13,0.16,21.0,13.0,471,536,129,87,111,0.754,35.657,0.246
ANGE1,0.86,175.7,0.78,0.7,114.2,0.6,0.33,0.12,0.13,29.0,14.0,600,766,331,125,128,0.764,30.451,0.236
jzz,0.86,181.8,0.83,0.69,116.9,0.63,0.31,0.1,0.12,28.0,9.0,278,335,136,43,55,0.76,28.646,0.24
rin,0.82,157.6,0.81,0.66,91.9,0.57,0.36,0.05,0.07,23.0,8.0,334,410,212,12,17,0.701,11.968,0.299
murizzz,0.81,167.9,0.82,0.65,114.9,0.6,0.33,0.06,0.13,25.0,11.0,265,324,145,28,59,0.735,30.773,0.265
BONECOLD,0.81,161.7,0.72,0.63,104.9,0.55,0.33,0.08,0.12,29.0,22.0,228,318,138,35,50,0.763,28.353,0.237
nizhaoTZH,0.76,166.6,0.85,0.66,95.2,0.59,0.41,0.06,0.07,37.0,6.0,251,295,173,5,6,0.694,12.518,0.306
koldamenta,0.73,121.9,0.55,0.63,79.7,0.39,0.37,0.04,0.1,22.0,13.0,231,421,215,21,60,0.72,24.418,0.28
