Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR
Suka,0.83,168.3,0.81,0.65,120.2,0.6,0.25,0.04,0.1,34.0,13.0,123,151,51,9,21,0.74
JSP,0.82,186.1,0.84,0.64,126.2,0.67,0.21,0.12,0.15,33.0,14.0,142,169,44,25,32,0.801
chqse,0.82,163.6,0.8,0.67,105.1,0.59,0.2,0.06,0.11,22.0,8.0,140,176,47,13,26,0.746
Papi,0.82,180.6,0.77,0.67,127.9,0.63,0.26,0.13,0.15,24.0,25.0,203,265,83,42,47,0.818
LunaFox,0.82,189.4,0.78,0.65,128.3,0.62,0.34,0.1,0.14,30.0,6.0,145,186,79,24,32,0.795
sarah,0.82,153.3,0.77,0.66,97.5,0.55,0.26,0.05,0.07,28.0,17.0,114,149,54,11,14,0.716
Spolen,0.82,150.2,0.73,0.71,105.5,0.53,0.43,0.03,0.04,36.0,14.0,144,196,117,9,11,0.721
azury,0.81,169.6,0.82,0.67,116.2,0.61,0.23,0.1,0.09,29.0,12.0,181,222,68,29,27,0.753
MattZ,0.81,197.3,0.83,0.65,132.8,0.68,0.22,0.1,0.11,29.0,4.0,226,271,74,33,35,0.821
Dory,0.81,152.9,0.74,0.67,101.0,0.55,0.37,0.06,0.07,32.0,11.0,146,196,97,16,18,0.742
Gonchz,0.8,176.5,0.8,0.63,121.5,0.63,0.13,0.07,0.13,28.0,19.0,130,162,26,15,27,0.786
Haodong,0.8,171.6,0.87,0.71,101.8,0.61,0.37,0.06,0.09,30.0,14.0,278,320,168,9,14,0.7
cait,0.8,150.4,0.68,0.63,105.1,0.5,0.32,0.04,0.05,18.0,11.0,106,156,68,9,11,0.729
Lilo,0.79,186.2,0.78,0.63,124.6,0.64,0.2,0.15,0.24,23.0,17.0,153,195,47,35,58,0.816
Quick,0.75,136.2,0.69,0.66,92.2,0.5,0.3,0.05,0.11,26.0,11.0,138,199,84,15,30,0.721
x0tek,0.74,150.6,0.64,0.66,102.9,0.51,0.31,0.08,0.12,25.0,5.0,164,256,101,27,38,0.79
