Player,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,K,D,A,FK,FD,DPR
keenc,1.35,291.3,1.57,0.78,181.8,1.03,0.2,0.2,0.1,19.0,18.0,2175,1389,428,426,201,0.659
enerii,1.29,284.2,1.41,0.77,179.0,1.0,0.24,0.21,0.14,24.0,22.0,2675,1898,641,572,383,0.707
Alexy,1.27,248.8,1.38,0.78,163.4,0.89,0.32,0.15,0.1,28.0,22.0,1960,1425,703,321,223,0.646
florescent,1.25,280.2,1.37,0.74,180.3,0.99,0.2,0.2,0.14,31.0,18.0,3668,2681,734,746,502,0.722
Kohaibi,1.24,239.5,1.36,0.8,162.3,0.86,0.25,0.1,0.08,23.0,17.0,1946,1427,571,233,175,0.634
Leo,1.23,222.0,1.28,0.79,145.0,0.79,0.36,0.07,0.05,22.0,15.0,4578,3564,2067,396,250,0.614
Ayumiii,1.21,252.1,1.32,0.76,160.7,0.89,0.24,0.18,0.12,22.0,22.0,2712,2052,735,557,365,0.673
Joliinaa,1.21,241.4,1.26,0.77,155.5,0.84,0.4,0.1,0.07,23.0,21.0,1613,1282,765,186,132,0.667
conir,1.2,239.2,1.28,0.76,157.3,0.85,0.33,0.13,0.08,26.0,12.0,892,695,341,141,87,0.664
rubkkoide,1.2,211.3,1.2,0.78,139.2,0.73,0.5,0.07,0.05,30.0,25.0,958,798,649,95,69,0.612
purp0,1.19,244.3,1.29,0.74,154.8,0.87,0.21,0.17,0.11,36.0,17.0,2406,1860,573,475,310,0.676
Jemkin,1.19,260.8,1.28,0.73,168.6,0.93,0.17,0.2,0.14,30.0,19.0,2048,1597,380,435,302,0.722
aspas,1.19,245.6,1.3,0.75,156.5,0.87,0.18,0.16,0.12,26.0,19.0,3386,2605,717,636,447,0.671
something,1.19,248.6,1.3,0.74,158.6,0.89,0.2,0.18,0.13,23.0,18.0,1705,1312,376,345,251,0.686
shirazi,1.19,222.1,1.24,0.77,144.3,0.78,0.38,0.1,0.07,22.0,21.0,1626,1316,782,208,147,0.633
runneR,1.18,251.0,1.21,0.73,160.5,0.86,0.25,0.18,0.13,24.0,18.0,1844,1527,537,380,281,0.713
neph,1.18,222.8,1.08,0.74,139.6,0.77,0.21,0.13,0.11,22.0,15.0,889,825,249,150,128,0.71
WARDELL,1.18,241.8,1.37,0.74,149.0,0.88,0.15,0.17,0.09,21.0,15.0,4091,2987,684,790,410,0.64
Vania,1.18,232.7,1.24,0.78,147.9,0.84,0.42,0.09,0.08,29.0,19.0,1915,1539,959,205,174,0.674
bstrdd,1.17,256.2,1.29,0.72,163.9,0.9,0.19,0.2,0.14,27.0,20.0,3456,2683,731,749,533,0.702
Mary,1.17,255.4,1.26,0.73,167.2,0.89,0.23,0.17,0.14,31.0,20.0,1137,902,288,215,184,0.71
disk0,1.17,226.6,1.22,0.74,147.0,0.8,0.26,0.09,0.07,23.0,15.0,2338,1917,767,255,208,0.657
dodonut,1.17,244.3,1.23,0.74,161.4,0.85,0.26,0.14,0.11,22.0,22.0,3887,3168,1184,649,517,0.692
NiSMO,1.16,238.6,1.17,0.76,154.1,0.81,0.36,0.13,0.09,25.0,18.0,4797,4096,2095,761,535,0.694
SkRossi,1.16,264.0,1.27,0.71,160.7,0.93,0.15,0.23,0.15,25.0,13.0,4870,3828,768,1206,778,0.73
cNed,1.16,250.0,1.28,0.72,156.3,0.89,0.17,0.18,0.13,25.0,14.0,5217,4078,974,1035,716,0.699
StarBound,1.16,244.5,1.29,0.74,163.1,0.85,0.19,0.12,0.08,18.0,11.0,1297,1003,293,175,118,0.661
stew,1.16,236.7,1.25,0.73,145.0,0.84,0.19,0.16,0.08,26.0,16.0,1497,1197,330,125,58,0.675
Alluka,1.16,233.1,1.17,0.77,150.6,0.8,0.4,0.12,0.08,21.0,13.0,1846,1574,923,269,186,0.682
sScary,1.16,214.8,1.2,0.77,139.1,0.75,0.36,0.07,0.06,21.0,18.0,5021,4177,2431,464,407,0.624
yay,1.16,241.9,1.27,0.71,151.8,0.86,0.16,0.19,0.12,27.0,14.0,4703,3705,882,1012,651,0.678
MaKo,1.16,213.8,1.17,0.77,137.7,0.74,0.43,0.08,0.07,26.0,16.0,3473,2980,2026,385,345,0.633
Verno,1.15,210.4,1.23,0.75,139.2,0.76,0.3,0.07,0.05,24.0,17.0,4858,3934,1881,443,289,0.618
madv,1.15,227.6,1.17,0.73,146.3,0.82,0.37,0.1,0.1,40.0,19.0,1205,1031,543,149,151,0.701
Shao,1.15,217.1,1.25,0.77,139.5,0.77,0.32,0.08,0.06,30.0,19.0,4956,3979,2071,494,329,0.617
ness,1.15,231.7,1.25,0.74,150.6,0.82,0.22,0.12,0.08,27.0,18.0,3021,2426,823,450,302,0.661
