Player,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"nukkye
GIA",161,0.89,185.7,0.88,65%,131.2,0.65,0.19,0.06,0.06,21%,6%,2/31,22,105,119,31,10,10
"qw1
FUT",216,0.88,190.6,0.93,64%,123.2,0.70,0.08,0.16,0.17,28%,12%,2/17,21,151,163,18,35,37
"ban
T1",129,0.85,176.3,0.82,66%,109.9,0.62,0.33,0.05,0.12,33%,11%,2/19,16,80,98,43,6,16
"ANGE1
NAVI",204,0.84,176.8,0.75,70%,117.7,0.59,0.44,0.10,0.14,26%,18%,2/11,24,120,161,89,21,29
"NagZ
KRÜ",90,0.83,149.5,0.72,61%,103.5,0.48,0.32,0.04,0.06,18%,,0/14,13,43,60,29,4,5
"rin
BLG",237,0.82,144.9,0.73,66%,91.9,0.51,0.34,0.05,0.07,23%,8%,2/24,16,122,167,81,12,17
"soulcas
TL",92,0.82,134.8,0.76,65%,81.7,0.48,0.27,0.04,0.03,39%,6%,1/17,13,44,58,25,4,3
"Klaus
KRÜ",90,0.79,157.3,0.71,64%,106.6,0.54,0.28,0.07,0.18,31%,,0/3,14,49,69,25,6,16
"Redgar
TL",92,0.76,162.8,0.69,68%,110.5,0.53,0.35,0.08,0.10,32%,,0/7,19,49,71,32,7,9
"nizhaoTZH
FPX",85,0.76,137.3,0.71,66%,95.2,0.49,0.27,0.06,0.07,37%,6%,1/16,17,42,59,23,5,6
"Melser
KRÜ",90,0.75,145.5,0.64,69%,94.3,0.49,0.27,0.10,0.14,26%,,0/11,14,44,69,24,9,13
"Jamppi
TL",92,0.72,162.5,0.85,55%,108.4,0.61,0.07,0.13,0.20,21%,27%,3/11,22,56,66,6,12,18
"Carpe
T1",129,0.72,149.8,0.68,60%,99.1,0.54,0.25,0.04,0.12,26%,33%,2/6,17,70,103,32,5,16
"BerLIN
FPX",85,0.71,155.8,0.60,65%,106.1,0.47,0.34,0.12,0.13,37%,,0/7,13,40,67,29,10,11
"SugarZ3ro
ZETA",79,0.67,120.7,0.66,63%,72.8,0.48,0.30,0.02,0.12,20%,,0/4,17,38,58,24,1,6
"Laz
ZETA",79,0.66,143.7,0.80,51%,84.8,0.61,0.14,0.06,0.22,26%,7%,1/14,20,48,60,11,3,11
"TENNN
ZETA",79,0.62,160.7,0.67,51%,111.8,0.56,0.11,0.08,0.25,18%,,0/7,16,44,66,9,4,13
"crow
ZETA",79,0.51,108.3,0.48,53%,73.1,0.37,0.29,0.02,0.04,16%,,0/7,13,29,61,23,1,2
